Table,Description_table,Field,Description,Data Type,Length,Column,Date
F31122,Work Order Time Transactions,WTHRT,Rate - Hourly,Numeric,15,24,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTHRW,Hours Worked,Numeric,15,25,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTHREQ,Hours - Equipment,Numeric,15,26,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTGPAY,Amount - Gross Pay,Numeric,15,27,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSOQS,Quantity Shipped,Numeric,15,28,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSOCN,Units - Quantity Canceled/Scrapped,Numeric,15,29,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTUOM,Unit of Measure as Input,String,2,30,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSUMR,Summary Record,Character,1,31,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTUSER,User ID,String,10,32,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTUPMJ,Date - Updated,Date,6,33,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTTDAY,Time of Day,Numeric,6,34,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTPID,Program ID,String,10,35,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTJOBN,Work Station ID,String,10,36,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTUKID,Unique Key ID (Internal),Numeric,15,37,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTRCD,Reason Code,String,3,38,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSTH,Standard hours,Numeric,15,39,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTLINE,Line/Cell Identifier,String,12,40,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTURCD,User Reserved Code,String,2,41,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTURDT,User Reserved Date,Date,6,42,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTURAT,User Reserved Amount,Numeric,15,43,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTURAB,User Reserved Number,Numeric,8,44,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTURRF,User Reserved Reference,String,15,45,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTACTB,Activity-Based Costing Activity Code,String,10,46,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTNUMB,Asset Item Number,Numeric,8,47,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSOHR,Source Of Hours,Character,1,48,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSORE,Source Of Rate,Character,1,49,2025-07-15 09:36:08.224336
F3102,Production Cost,IGDOCO,Document (Order No  Invoice  etc.),Numeric,8,1,2025-07-15 09:36:08.224336
F3102,Production Cost,IGDCTO,Order Type,String,2,2,2025-07-15 09:36:08.224336
F3102,Production Cost,IGOPSQ,Sequence Number - Operations,Numeric,5,3,2025-07-15 09:36:08.224336
F3102,Production Cost,IGITM,Item Number - Short,Numeric,8,4,2025-07-15 09:36:08.224336
F3102,Production Cost,IGLITM,2nd Item Number,String,25,5,2025-07-15 09:36:08.224336
F3102,Production Cost,IGAITM,3rd Item Number,String,25,6,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCOST,Cost Component,String,3,7,2025-07-15 09:36:08.224336
F3102,Production Cost,IGPART,Parent Child Relationship,Character,1,8,2025-07-15 09:36:08.224336
F3102,Production Cost,IGOPUN,Standard Units,Numeric,15,9,2025-07-15 09:36:08.224336
F3102,Production Cost,IGOPAT,Standard Amount,Numeric,15,10,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCLUN,Actual Units,Numeric,15,11,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCLAT,Actual Amount,Numeric,15,12,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCCCU,Current Units,Numeric,15,13,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCCCA,Current Amount,Numeric,15,14,2025-07-15 09:36:08.224336
F3102,Production Cost,IGPLUN,Planned Units,Numeric,15,15,2025-07-15 09:36:08.224336
F3102,Production Cost,IGPLAT,Planned Amount,Numeric,15,16,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCPUN,Completed Units,Numeric,15,17,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCPAT,Completed Amount,Numeric,15,18,2025-07-15 09:36:08.224336
F3102,Production Cost,IGSLUN,Scrapped Units,Numeric,15,19,2025-07-15 09:36:08.224336
F3102,Production Cost,IGSLAT,Scrapped Amount,Numeric,15,20,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCCUU,Current Unaccounted Units,Numeric,15,21,2025-07-15 09:36:08.224336
F3102,Production Cost,IGCCUA,Current Unaccounted Amount,Numeric,15,22,2025-07-15 09:36:08.224336
F3102,Production Cost,IGUNPU,Unpostable Units,Numeric,15,23,2025-07-15 09:36:08.224336
F3102,Production Cost,IGUNPA,Unpostable Amount,Numeric,15,24,2025-07-15 09:36:08.224336
F3102,Production Cost,IGUOM,Unit of Measure as Input,String,2,25,2025-07-15 09:36:08.224336
F3102,Production Cost,IGUSER,User ID,String,10,26,2025-07-15 09:36:08.224336
F3102,Production Cost,IGPID,Program ID,String,10,27,2025-07-15 09:36:08.224336
F3102,Production Cost,IGUPMJ,Date - Updated,Date,6,28,2025-07-15 09:36:08.224336
F3102,Production Cost,IGTDAY,Time of Day,Numeric,6,29,2025-07-15 09:36:08.224336
F3102,Production Cost,IGJOBN,Work Station ID,String,10,30,2025-07-15 09:36:08.224336
F3102,Production Cost,IGMCU,Business Unit,String,12,31,2025-07-15 09:36:08.224336
F3102,Production Cost,IGWMCU,Workcenter Branch,String,12,32,2025-07-15 09:36:08.224336
F3102,Production Cost,IGMMCU,Branch,String,12,33,2025-07-15 09:36:08.224336
F3102,Production Cost,IGFORQ,Fixed or Variable Quantity,Character,1,34,2025-07-15 09:36:08.224336
F3102,Production Cost,IGENGV,Engineering variance amount,Numeric,15,35,2025-07-15 09:36:08.224336
F3102,Production Cost,IGPLNV,Planned variance amount,Numeric,15,36,2025-07-15 09:36:08.224336
F3102,Production Cost,IGVACT,Actual variance amount,Numeric,15,37,2025-07-15 09:36:08.224336
F3102,Production Cost,IGOTHV,Other variance amount,Numeric,15,38,2025-07-15 09:36:08.224336
F3102,Production Cost,IGNETV,Net variance amount,Numeric,15,39,2025-07-15 09:36:08.224336
F3102,Production Cost,IGSCRP,Percent - Percent of Scrap,Numeric,5,40,2025-07-15 09:36:08.224336
F3102,Production Cost,IGSCTC,Factor Code - Frozen,String,4,41,2025-07-15 09:36:08.224336
F3102,Production Cost,IGSTFC,Factor - Frozen,Numeric,15,42,2025-07-15 09:36:08.224336
F3102,Production Cost,IGRATS,Rate Code - Frozen,String,4,43,2025-07-15 09:36:08.224336
F3102,Production Cost,IGRTSD,Rate - Frozen,Numeric,15,44,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDPRJM,Project Number,Numeric,8,1,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDUKID,Unique Key ID (Internal),Numeric,15,2,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDPNUM,Predecessor Number,Numeric,8,3,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDONUM,Successor Number,Numeric,8,4,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDDYTY,Dependency Type,String,2,5,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDLAGT,Lag Time,Numeric,15,6,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDLAGR,Lag Rule,Character,1,7,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDDTX1,Description - Descriptive Text 1,String,75,8,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDURCD,User Reserved Code,String,2,9,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDURDT,User Reserved Date,Date,6,10,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDURAT,User Reserved Amount,Numeric,15,11,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDURAB,User Reserved Number,Numeric,8,12,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDURRF,User Reserved Reference,String,15,13,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDUSER,User ID,String,10,14,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDJOBN,Work Station ID,String,10,15,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDPID,Program ID,String,10,16,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDUPMJ,Date - Updated,Date,6,17,2025-07-15 09:36:08.224336
F31P12,Task Dependencies,TDTDAY,Time of Day,Numeric,6,18,2025-07-15 09:36:08.224336
F31PUI02,List of Records Locked,RRPID,Program ID,String,10,1,2025-07-15 09:36:08.224336
F31PUI02,List of Records Locked,RRUSER,User ID,String,10,2,2025-07-15 09:36:08.224336
F31PUI02,List of Records Locked,RRDOCO,Document (Order No  Invoice  etc.),Numeric,8,3,2025-07-15 09:36:08.224336
F31PUI02,List of Records Locked,RRPRJM,Project Number,Numeric,8,4,2025-07-15 09:36:08.224336
F31PUI02,List of Records Locked,RRALP1,Secondary Alpha Name,String,40,5,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROROSID,Related Order Set Identifier,Numeric,15,1,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROROID,Related Order Identifier,Numeric,8,2,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROSY,Product Code,String,4,3,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROOIND,Order Indicator,Numeric,8,4,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,RODOCO,Document (Order No  Invoice  etc.),Numeric,8,5,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,RODCTO,Order Type,String,2,6,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROKCOO,Order Company (Order Number),String,5,7,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROLNID,Line Number,Numeric,6,8,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROSFXO,Order Suffix,String,3,9,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROPRJM,Project Number,Numeric,8,10,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROMCU,Business Unit,String,12,11,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROGLCM,Project G/L Class Code,String,4,12,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,RODOC,Document (Voucher  Invoice  etc.),Numeric,8,13,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,RODCT,Document Type,String,2,14,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROSUB,Subsidiary,String,8,15,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROITM,Item Number - Short,Numeric,8,16,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,RODSC1,Description,String,30,17,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROUKID,Unique Key ID (Internal),Numeric,15,18,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROWODTF,Work Order Type Flag,Character,1,19,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUC1,Cross-Reference User Defined Character 1,Character,1,20,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUC2,Cross-Reference User Defined Character 2,Character,1,21,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUC3,Cross-Reference User Defined Character 3,Character,1,22,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUC4,Cross-Reference User Defined Character 4,Character,1,23,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUC5,Cross-Reference User Defined Character 5,Character,1,24,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUS1,Cross-Reference User Defined Numeric 5,String,10,25,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUS2,Cross-Reference User Defined String 2,String,10,26,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUS3,Cross-Reference User Defined String 3,String,10,27,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUS4,Cross-Reference User Defined String 4,String,10,28,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUS5,Cross-Reference User Defined String 5,String,10,29,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUN1,Cross-Reference User Defined Numeric 1,Numeric,15,30,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUN2,Cross-Reference User Defined Numeric 2,Numeric,15,31,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUN3,Cross-Reference User Defined Numeric 3,Numeric,15,32,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUN4D2,Cross-Reference User Defined Numeric 4,Numeric,15,33,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUN5D2,Cross-Reference User Defined Numeric 5,Numeric,15,34,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUD,Date - Cross-Reference User Defined 1,Date,6,35,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUD2,Date - Cross-Reference User Defined 2,Date,6,36,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUD3,Date - Cross-Reference User Defined 3,Date,6,37,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUD4,Date - Cross-Reference User Defined 4,Date,6,38,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROCRUD5,Date - Cross-Reference User Defined 5,Date,6,39,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROPID,Program ID,String,10,40,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROJOBN,Work Station ID,String,10,41,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROUPMJ,Date - Updated,Date,6,42,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROUPMT,Time - Last Updated,Numeric,6,43,2025-07-15 09:36:08.224336
F4080,Related Order Cross Reference Table,ROUSER,User ID,String,10,44,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMMCU,Business Unit,String,12,1,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMITM,Item Number - Short,Numeric,8,2,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMUM,Unit of Measure,String,2,3,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMRUM,Related Unit of Measure,String,2,4,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMUSTR,Unit of Measure Structure,Character,1,5,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMCONV,Conversion Factor,Numeric,15,6,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMCNV1,Conversion Factor - Secondary to Primary,Numeric,15,7,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMUSER,User ID,String,10,8,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMPID,Program ID,String,10,9,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMJOBN,Work Station ID,String,10,10,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMUPMJ,Date - Updated,Date,6,11,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMTDAY,Time of Day,Numeric,6,12,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMEXPO,Exclude from PO,Character,1,13,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMEXSO,Exclude from SO,Character,1,14,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMPUPC,Code Purchase Price Code,Integer,11,15,2025-07-15 09:36:08.224336
F41002,Item Units of Measure Conversion Factors,UMSEPC,Code Sales Price Code,Integer,11,16,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCUM,Unit of Measure,String,2,1,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCRUM,Related Unit of Measure,String,2,2,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCCONV,Conversion Factor,Numeric,15,3,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCUSER,User ID,String,10,4,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCPID,Program ID,String,10,5,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCJOBN,Work Station ID,String,10,6,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCUPMJ,Date - Updated,Date,6,7,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCTDAY,Time of Day,Numeric,6,8,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCEXPO,Exclude from PO,Character,1,9,2025-07-15 09:36:08.224336
F41003,Unit of Measure standard conversion,UCEXSO,Exclude from SO,Character,1,10,2025-07-15 09:36:08.224336
F4101,Item Master,IMITM,Item Number - Short,Numeric,8,1,2025-07-15 09:36:08.224336
F4101,Item Master,IMLITM,2nd Item Number,String,25,2,2025-07-15 09:36:08.224336
F4101,Item Master,IMAITM,3rd Item Number,String,25,3,2025-07-15 09:36:08.224336
F4101,Item Master,IMDSC1,Description,String,30,4,2025-07-15 09:36:08.224336
F4101,Item Master,IMDSC2,Description - Line 2,String,30,5,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRTX,Search Text,String,30,6,2025-07-15 09:36:08.224336
F4101,Item Master,IMALN,Search Text - Compressed,String,30,7,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP1,Sales Catalog Section,String,3,8,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP2,Sub Section,String,3,9,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP3,Sales Category Code 3,String,3,10,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP4,Sales Category Code 4,String,3,11,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP5,Sales Category Code 5,String,3,12,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP6,Category Code 6,String,6,13,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP7,Category Code 7,String,6,14,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP8,Category Code 8,String,6,15,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP9,Category Code 9,String,6,16,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRP0,Category Code 10,String,6,17,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP1,Commodity Class,String,3,18,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP2,Commodity Sub Class,String,3,19,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP3,Supplier Rebate Code,String,3,20,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP4,Master Planning Family,String,3,21,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP5,Purchasing Category Code 5,String,3,22,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP6,Group - Item Dimension,String,6,23,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP7,Group - Warehouse Process 1,String,6,24,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP8,Group - Warehouse Process 2,String,6,25,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP9,Group - Warehouse Process 3,String,6,26,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRP0,Item Pool,String,6,27,2025-07-15 09:36:08.224336
F4101,Item Master,IMCDCD,Commodity Code,String,15,28,2025-07-15 09:36:08.224336
F4101,Item Master,IMPDGR,Product Group,String,3,29,2025-07-15 09:36:08.224336
F4101,Item Master,IMDSGP,Dispatch Group,String,3,30,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRGR,Item Price Group,String,8,31,2025-07-15 09:36:08.224336
F4101,Item Master,IMRPRC,Reprice (Basket Price) Category,String,8,32,2025-07-15 09:36:08.224336
F4101,Item Master,IMORPR,Order Reprice Category,String,8,33,2025-07-15 09:36:08.224336
F4101,Item Master,IMBUYR,Buyer Number,Numeric,8,34,2025-07-15 09:36:08.224336
F4101,Item Master,IMDRAW,Drawing Number,String,20,35,2025-07-15 09:36:08.224336
F4101,Item Master,IMRVNO,Last Revision No.,String,2,36,2025-07-15 09:36:08.224336
F4101,Item Master,IMDSZE,Drawing Size,Character,1,37,2025-07-15 09:36:08.224336
F4101,Item Master,IMVCUD,Cubic Dimensions - Volume,Numeric,15,38,2025-07-15 09:36:08.224336
F4101,Item Master,IMCARS,Carrier Number,Numeric,8,39,2025-07-15 09:36:08.224336
F4101,Item Master,IMCARP,Preferred Carrier - Purchasing,Numeric,8,40,2025-07-15 09:36:08.224336
F4101,Item Master,IMSHCN,Shipping Conditions Code,String,3,41,2025-07-15 09:36:08.224336
F4101,Item Master,IMSHCM,Shipping Commodity Class,String,3,42,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM1,Unit of Measure - Primary,String,2,43,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM2,Unit of Measure - Secondary,String,2,44,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM3,Unit of Measure - Purchasing,String,2,45,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM4,Unit of Measure - Pricing,String,2,46,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM6,Unit of Measure - Shipping,String,2,47,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM8,Unit of Measure - Production,String,2,48,2025-07-15 09:36:08.224336
F4101,Item Master,IMUOM9,Unit of Measure - Component,String,2,49,2025-07-15 09:36:08.224336
F4101,Item Master,IMUWUM,Unit of Measure - Weight,String,2,50,2025-07-15 09:36:08.224336
F4101,Item Master,IMUVM1,Unit of Measure - Volume,String,2,51,2025-07-15 09:36:08.224336
F4101,Item Master,IMSUTM,Unit of Measure - Stocking,String,2,52,2025-07-15 09:36:08.224336
F4101,Item Master,IMUMVW,Unit of Measure - Volume or Weight,Character,1,53,2025-07-15 09:36:08.224336
F4101,Item Master,IMCYCL,Cycle Count Category,String,3,54,2025-07-15 09:36:08.224336
F4101,Item Master,IMGLPT,Category - G/L,String,4,55,2025-07-15 09:36:08.224336
F4101,Item Master,IMPLEV,Level - Sales Base Price,Character,1,56,2025-07-15 09:36:08.224336
F4101,Item Master,IMPPLV,Level - Purchase Price,Character,1,57,2025-07-15 09:36:08.224336
F4101,Item Master,IMCLEV,Level - Inventory Cost,Character,1,58,2025-07-15 09:36:08.224336
F4101,Item Master,IMPRPO,Grade/Potency Pricing,Character,1,59,2025-07-15 09:36:08.224336
F4101,Item Master,IMCKAV,Check Availability Y/N,Character,1,60,2025-07-15 09:36:08.224336
F4101,Item Master,IMBPFG,Bulk/Packed Flag,Character,1,61,2025-07-15 09:36:08.224336
F4101,Item Master,IMSRCE,Layer Code - Source,Character,1,62,2025-07-15 09:36:08.224336
F4101,Item Master,IMOT1Y,Potency Control,Character,1,63,2025-07-15 09:36:08.224336
F4101,Item Master,IMOT2Y,Grade Control,Character,1,64,2025-07-15 09:36:08.224336
F4101,Item Master,IMSTDP,Standard Potency,Numeric,7,65,2025-07-15 09:36:08.224336
F4101,Item Master,IMFRMP,From Potency,Numeric,7,66,2025-07-15 09:36:08.224336
F4101,Item Master,IMTHRP,Thru Potency,Numeric,7,67,2025-07-15 09:36:08.224336
F4101,Item Master,IMSTDG,Standard Grade,String,3,68,2025-07-15 09:36:08.224336
F4101,Item Master,IMFRGD,From Grade,String,3,69,2025-07-15 09:36:08.224336
F4101,Item Master,IMTHGD,Thru Grade,String,3,70,2025-07-15 09:36:08.224336
F4101,Item Master,IMCOTY,Component Type,Character,1,71,2025-07-15 09:36:08.224336
F4101,Item Master,IMSTKT,Stocking Type,Character,1,72,2025-07-15 09:36:08.224336
F4101,Item Master,IMLNTY,Line Type,String,2,73,2025-07-15 09:36:08.224336
F4101,Item Master,IMCONT,Contract - Item,Character,1,74,2025-07-15 09:36:08.224336
F4101,Item Master,IMBACK,Backorders Allowed (Y/N),Character,1,75,2025-07-15 09:36:08.224336
F4101,Item Master,IMIFLA,Item Flash Message,String,2,76,2025-07-15 09:36:08.224336
F4101,Item Master,IMTFLA,Standard Unit of Measure Conversion,String,2,77,2025-07-15 09:36:08.224336
F4101,Item Master,IMINMG,Print Message,String,10,78,2025-07-15 09:36:08.224336
F4101,Item Master,IMABCS,ABC Code 1 - Sales - Inventory,Character,1,79,2025-07-15 09:36:08.224336
F4101,Item Master,IMABCM,ABC Code 1 - Margin - Inventory,Character,1,80,2025-07-15 09:36:08.224336
F4101,Item Master,IMABCI,ABC Code 3 - Investment - Inventory,Character,1,81,2025-07-15 09:36:08.224336
